        numOfIt             y1             y2             tk
            651       0.258689      -0.356903       0.246547
            652       0.259086      -0.356671       0.246913
            653       0.259483      -0.356439        0.24728
            654       0.259879      -0.356206       0.247647
            655       0.260276      -0.355973       0.248014
            656       0.260673       -0.35574        0.24838
            657        0.26107      -0.355506       0.248747
            658       0.261467      -0.355272       0.249114
            659       0.261864      -0.355037        0.24948
            660       0.262261      -0.354802       0.249847
            661       0.262658      -0.354566       0.250213
            662       0.263055       -0.35433        0.25058
            663       0.263452      -0.354093       0.250946
            664       0.263849      -0.353856       0.251313
            665       0.264245      -0.353619        0.25168
            666       0.264642      -0.353381       0.252046
            667       0.265039      -0.353143       0.252413
            668       0.265436      -0.352904       0.252779
            669       0.265833      -0.352665       0.253146
            670        0.26623      -0.352426       0.253512
            671       0.266627      -0.352186       0.253878
            672       0.267024      -0.351945       0.254245
            673       0.267421      -0.351704       0.254611
            674       0.267818      -0.351463       0.254978
            675       0.268215      -0.351221       0.255344
            676       0.268612      -0.350979        0.25571
            677       0.269008      -0.350737       0.256077
            678       0.269405      -0.350494       0.256443
            679       0.269802       -0.35025       0.256809
            680       0.270199      -0.350006       0.257176
            681       0.270596      -0.349762       0.257542
            682       0.270993      -0.349517       0.257908
            683        0.27139      -0.349272       0.258274
            684       0.271787      -0.349027       0.258641
            685       0.272184       -0.34878       0.259007
            686       0.272581      -0.348534       0.259373
            687       0.272978      -0.348287       0.259739
            688       0.273375       -0.34804       0.260106
            689       0.273772      -0.347792       0.260472
            690       0.274169      -0.347544       0.260838
            691       0.274565      -0.347295       0.261204
            692       0.274962      -0.347046        0.26157
            693       0.275359      -0.346797       0.261936
            694       0.275756      -0.346547       0.262303
            695       0.276153      -0.346296       0.262669
            696        0.27655      -0.346045       0.263035
            697       0.276947      -0.345794       0.263401
            698       0.277344      -0.345543       0.263767
            699       0.277741       -0.34529       0.264133
            700       0.278138      -0.345038       0.264499
            701       0.278535      -0.344785       0.264865
            702       0.278932      -0.344532       0.265231
            703       0.279329      -0.344278       0.265597
            704       0.279726      -0.344024       0.265963
            705       0.280122      -0.343769       0.266329
            706       0.280519      -0.343514       0.266695
            707       0.280916      -0.343258       0.267061
            708       0.281313      -0.343002       0.267427
